Codigo_SAP,Codigo_Litigio,Data_Abertura,Material,Nota_Fiscal,Data_Litigio,Status,Fornecedor
101384,2823697,9/5/2025,739102624R,000400598-1,06/05/25,NFL,FORNECEDOR
101384,2831543,17/5/2025,739102624R,000401279-1,14/05/25,NFL,FORNECEDOR
117680,2795613,8/4/2025,732503871R,24175-1,19/03/25,NFL,FORNECEDOR
117680,2795606,8/4/2025,732562803R,24017-1,05/03/25,NFL,FORNECEDOR
117680,2795609,8/4/2025,732562803R,24083-1,12/03/25,NFL,FORNECEDOR
117680,2795613,8/4/2025,732562803R,24175-1,19/03/25,NFL,FORNECEDOR
117680,2795606,8/4/2025,732566668R,24017-1,05/03/25,NFL,FORNECEDOR
117680,2795609,8/4/2025,732566668R,24083-1,12/03/25,NFL,FORNECEDOR
117680,2795613,8/4/2025,732566668R,24175-1,19/03/25,NFL,FORNECEDOR
108060,2789243,2/4/2025,620223601R,46885-3,24/03/25,NFL,FORNECEDOR
108060,2789243,2/4/2025,620224709R,46885-3,24/03/25,NFL,FORNECEDOR
103415,2823392,8/5/2025,668635019R,210069,29/04/25,NFL,FORNECEDOR
110781,2789611,2/4/2025,738206375R,000129153-1,31/03/25,NFL,FORNECEDOR
110781,2789721,2/4/2025,738206375R,000129190-1,01/04/25,NFL,FORNECEDOR
110781,2791164,3/4/2025,738206375R,000129207-1,01/04/25,NFL,FORNECEDOR
110781,2792257,4/4/2025,738206375R,000129223-1,02/04/25,NFL,FORNECEDOR
110781,2793445,5/4/2025,738206375R,000129234-1,03/04/25,NFL,FORNECEDOR
110781,2796900,9/4/2025,738206375R,000129262-1,07/04/25,NFL,FORNECEDOR
110781,2799233,11/4/2025,738206375R,000129298-1,09/04/25,NFL,FORNECEDOR
110781,2800802,12/4/2025,738206375R,000129320-1,10/04/25,NFL,FORNECEDOR
110781,2804035,17/4/2025,738206375R,000129342-1,14/04/25,NFL,FORNECEDOR
110781,2807974,23/4/2025,738206375R,000129367-1,15/04/25,NFL,FORNECEDOR
110781,2789611,2/4/2025,738214780R,000129153-1,31/03/25,NFL,FORNECEDOR
110781,2789721,2/4/2025,738214780R,000129190-1,01/04/25,NFL,FORNECEDOR
110781,2792257,4/4/2025,738214780R,000129223-1,02/04/25,NFL,FORNECEDOR
110781,2793445,5/4/2025,738214780R,000129234-1,03/04/25,NFL,FORNECEDOR
110781,2796900,9/4/2025,738214780R,000129262-1,07/04/25,NFL,FORNECEDOR
110781,2799233,11/4/2025,738214780R,000129298-1,09/04/25,NFL,FORNECEDOR
110781,2800793,12/4/2025,738214780R,000129316-1,10/04/25,NFL,FORNECEDOR
110781,2789611,2/4/2025,738216242R,000129153-1,31/03/25,NFL,FORNECEDOR
110781,2791164,3/4/2025,738216242R,000129207-1,01/04/25,NFL,FORNECEDOR
110781,2792257,4/4/2025,738216242R,000129223-1,02/04/25,NFL,FORNECEDOR
110781,2793445,5/4/2025,738216242R,000129234-1,03/04/25,NFL,FORNECEDOR
110781,2796900,9/4/2025,738216242R,000129262-1,07/04/25,NFL,FORNECEDOR
110781,2799233,11/4/2025,738216242R,000129298-1,09/04/25,NFL,FORNECEDOR
110781,2800793,12/4/2025,738216242R,000129316-1,10/04/25,NFL,FORNECEDOR
110781,2789429,2/4/2025,738217174R,000129123-1,28/03/25,NFL,FORNECEDOR
110781,2789611,2/4/2025,738217174R,000129153-1,31/03/25,NFL,FORNECEDOR
110781,2789721,2/4/2025,738217174R,000129190-1,01/04/25,NFL,FORNECEDOR
110781,2792257,4/4/2025,738217174R,000129223-1,02/04/25,NFL,FORNECEDOR
110781,2793445,5/4/2025,738217174R,000129234-1,03/04/25,NFL,FORNECEDOR
110781,2796900,9/4/2025,738217174R,000129262-1,07/04/25,NFL,FORNECEDOR
110781,2799233,11/4/2025,738217174R,000129298-1,09/04/25,NFL,FORNECEDOR
133453,2828646,14/5/2025,739101733R,43416-1,N/A,NFL,FORNECEDOR
133453,2818829,2/5/2025,739101733R,43785-1,17/03/24,NFL,FORNECEDOR
101384,2832304,18/5/2025,739102624R,000401496-1,15/05/25,NFL,FORNECEDOR
133453,2818994,2/5/2025,739102008R,43789-1,N/A,NFL,FORNECEDOR
133453,2812826,27/4/2025,739102008R,45226-1,N/A,NFL,FORNECEDOR
101384,2791070,3/4/2025,739102859R,000398031-1,01/04/25,NFL,FORNECEDOR
101384,2792141,4/4/2025,739102859R,000398154-1,02/04/25,NFL,FORNECEDOR
101384,2792746,4/4/2025,739102859R,000398285-1,03/04/25,NFL,FORNECEDOR
101384,2797741,10/4/2025,739102859R,000398650-1,08/04/25,NFL,FORNECEDOR
101384,2791111,3/4/2025,739102859R,000398074-1,01/04/25,NFL,FORNECEDOR
101384,2805266,18/4/2025,739102859R,000399373-1,16/04/25,NFL,FORNECEDOR
101384,2809210,24/4/2025,739102859R,000399621-1,22/04/25,NFL,FORNECEDOR
101384,2822779,8/5/2025,739102859R,000400597-1,06/05/25,NFL,FORNECEDOR
101384,2797776,10/4/2025,739102859R,000398693-1,08/04/25,NFL,FORNECEDOR
101384,2804135,17/4/2025,739102859R,000399277-1,15/04/25,NFL,FORNECEDOR
101384,2823790,9/5/2025,739102859R,000400712-1,07/05/25,NFL,FORNECEDOR
101384,2825310,10/5/2025,739102859R,000400818-1,08/05/25,NFL,FORNECEDOR
101384,2809236,24/4/2025,739102859R,000399663-1,22/04/25,NFL,FORNECEDOR
101384,2819562,3/5/2025,739102859R,000400228-1,29/04/25,NFL,FORNECEDOR
101384,2828407,14/5/2025,739102859R,000401168-1,13/05/25,NFL,FORNECEDOR
101384,2822806,8/5/2025,739102859R,000400622-1,06/05/25,NFL,FORNECEDOR
101384,2830362,16/5/2025,739102859R,000401277-1,14/05/25,NFL,FORNECEDOR
101384,2831698,17/5/2025,739102859R,000401414-1,15/05/25,NFL,FORNECEDOR
101384,2833451,20/5/2025,739102859R,000401604-1,16/05/25,NFL,FORNECEDOR
101384,2829386,15/5/2025,739102859R,000401231-1,13/05/25,NFL,FORNECEDOR
101384,2835526,22/5/2025,739102859R,000401814-1,20/05/25,NFL,FORNECEDOR
101384,2836511,23/5/2025,739102859R,000401935-1,21/05/25,NFL,FORNECEDOR
101384,2838131,24/5/2025,739102859R,000402070-1,22/05/25,NFL,FORNECEDOR
101384,2835511,22/5/2025,739102859R,000401781-1,20/05/25,NFL,FORNECEDOR
101384,2800259,11/4/2025,739102859R,398892-1,10/04/25,NFL,FORNECEDOR
101384,2810129,24/4/2025,739102859R,399721-1,23/04/25,NFL,FORNECEDOR
101384,2811805,26/4/2025,739102859R,399844-1,24/04/25,NFL,FORNECEDOR
101384,2841928,29/5/2025,739102859R,000402456-1,27/05/25,NFL,FORNECEDOR
101384,2791071,3/4/2025,739105089R,000398032-1,01/04/25,NFL,FORNECEDOR
101384,2792142,4/4/2025,739105089R,000398155-1,02/04/25,NFL,FORNECEDOR
101384,2792742,4/4/2025,739105089R,000398289-1,03/04/25,NFL,FORNECEDOR
101384,2797742,10/4/2025,739105089R,000398651-1,08/04/25,NFL,FORNECEDOR
101384,2791112,3/4/2025,739105089R,000398075-1,01/04/25,NFL,FORNECEDOR
101384,2804126,17/4/2025,739105089R,000399261-1,15/04/25,NFL,FORNECEDOR
