Item_Fatura,Empresa,Centro,Data_Criacao,Fornecedor,Nome_Fornecedor,Doc_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preço_Contrato,Preço_Fatura,Montante,Item_Contrato,Data_Emissao,Valor_NF_c/_Imposto,Valor_NF_s/_Imposto,ICMS,PIS,COFINS,ICMS_Diferido,IPI
5,483,FAS,3/4/2025,108060,FORNECEDOR,4508609109,70,620223601R,PEÇA,000047044-3,"1,000","199,51","202,56","3,05",2000,3/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508609027,100,620223601R,PEÇA,000047046-3,"5,000","199,51","202,55","15,20",2000,3/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,4/4/2025,108060,FORNECEDOR,4508608910,60,620223601R,PEÇA,000047047-3,"5,000","199,51","202,55","15,20",2000,3/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508608751,70,620223601R,PEÇA,000047048-3,"5,000","199,51","202,55","15,20",2000,3/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508609396,100,620223601R,PEÇA,000047053-3,"6,000","199,51","202,55","18,24",2000,3/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,4/4/2025,108060,FORNECEDOR,4508609577,70,620223601R,PEÇA,000047055-3,"4,000","199,51","202,55","12,16",2000,3/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,4/4/2025,108060,FORNECEDOR,4508609819,70,620223601R,PEÇA,000047057-3,"3,000","199,51","202,55","9,12",2000,3/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,4/4/2025,108060,FORNECEDOR,4508611849,40,620223601R,PEÇA,000047061-3,"1,000","199,51","202,56","3,05",2000,4/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508610066,90,620223601R,PEÇA,000047062-3,"7,000","199,51","202,55","21,28",2000,4/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508610403,90,620223601R,PEÇA,000047064-3,"7,000","199,51","202,55","21,28",2000,4/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
4,483,FAS,4/4/2025,108060,FORNECEDOR,4508610741,70,620223601R,PEÇA,000047066-3,"4,000","199,51","202,55","12,16",2000,4/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508611056,90,620223601R,PEÇA,000047070-3,"2,000","199,51","202,55","6,08",2000,4/4/2025,"R$ 223,20","R$ 202,55",0.0,"1,65","7,6",nan,nan
3,483,FAS,2/4/2025,108060,FORNECEDOR,4508405168,30,62010N847R,PEÇA,46885-3,"2,000","587,48","602,73","30,50",200,24/3/2025,"R$ 664,17","R$ 602,72",0.0,"1,65","7,6",nan,nan
3,483,SJP,2/4/2025,102318,FORNECEDOR,4508603760,30,620224263R,PEÇA,000240739-3,"90,000","159,80","168,34","768,60",10,31/3/2025,"R$ 185,50","R$ 168,34",0.0,"1,65","7,6",nan,"3,25"
